Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Peak torque (Nm),Horsepower,Kerb weight,Make,Model,Variant,Lat,Lon
2019,2019 Hyundai I30 Active PD2 MY19,74070,20998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU096318,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2019,2019 Hyundai I30 Active PD2 MY19,66975,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU099596,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2019,2019 Hyundai I30 Active PD2 MY19,68845,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMKU088563,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2017,2017 Mitsubishi Triton GLX (4X4) MQ MY18,188978,24750,Automatic,Ute tray,Four Wheel Drive,Diesel,7.6,White,MMAZYKL10HH025099,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,2440,4,75,16,430,179,1930,Mitsubishi,Triton,GLX (4X4),-31.987188,115.935923
2016,2016 Mitsubishi Triton GLX (4X4) MQ MY16,141855,26900,Automatic,Ute tray,Four Wheel Drive,Diesel,7.6,White,MMAJYKL10HH000452,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,2440,4,75,16,430,179,1930,Mitsubishi,Triton,GLX (4X4),-31.987188,115.935923
2018,2018 Volkswagen Golf 110 TSI Comfortline AU MY18,43147,26999,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.4,White,WVWZZZAUZJW153580,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,5,1395,4,50,16,250,148,1261,Volkswagen,Golf,110 TSI Comfortline,-31.995227,115.938215
2020,2020 Ford Ranger XL 2.2 HI-Rider (4X2) PX Mkiii MY20.25,51773,36750,Automatic,Ute tray,Rear Wheel Drive,Diesel,7.8,White,MNAUM1F80LW083391,Webb Auto Sales,"76 Division Street, Welshpool, WA",4,4,2198,4,80,16,385,159,1783,Ford,Ranger,XL 2.2 HI-Rider (4X2),-31.987188,115.935923
2009,2009 Audi S5 4.2 FSI Quattro 8T,163162,26921,Automatic,Coupe,All Wheel Drive,Premium Unleaded Petrol,12.4,White,WAUZZZ8T49A041980,Next Ride,"464 Canning Highway, Como, WA",4,2,4163,8,63,32,440,349,1630,Audi,S5,4.2 FSI Quattro,-32.00604,115.8597
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,23710,22750,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU082387,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2021,2021 Mercedes-Benz GLB35 4Matic X247 MY21.5,23300,89990,Automatic,Suv,All Wheel Drive,Premium Unleaded Petrol,8.3,White,W1N2476512W108894,Mercedes-Benz Perth used,"1093 Albany Highway, Bentley, WA",7,4,1991,4,60,16,400,302,1839,Mercedes-Benz,GLB35,4Matic,-31.999547,115.916029
