Year model,Car Spec,Kilometres,Seller type,Price,Transmission,Body type,Drive type,Engine,Fuel type,Fuel consumption,Colour ext / int,Registration,Rego expiry,VIN,Stock No,ANCAP Safety rating,Green overall rating,Dealer,Address,Seating capacity,Doors,Front tyre size,Front rim size,Rear tyre size,Rear rim size,Injection / Carburation,CC,Number of cylinders,Front suspension,Rear suspension,Front brakes,Rear brakes,Fuel tank capacity,Valve gear type,Maximum torque,Maximum power (kW),CO2 level (g/km),Green house rating,Overall HxWxL,Ground clearance unladen,Wheelbase,Kerb weight,Turning circle,Rear track,Front track,Gross trailer weight braked,Make,Model,Variant,Series,Warranty when new (months),Warranty when new (kms),Service interval (months),Service interval (kms),Country of origin,Vehicle segment
2014,2014 Jeep Grand Cherokee SRT 8 (4X4) WK MY14,"131,139km",Dealer: Used,"$47,998",Automatic,"SUV, 4 Doors, 5 Seats",4x4,"8 cyl, 6.4 L",Premium Unleaded Petrol,14.00 L / 100 km,Silver / -,1EJY178,-,1C4RJFHJ4EC222986,C5854,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Gardner Commercials,"1308 Albany Highway, Cannington, WA",5,4,295/45 R20,10x20,295/45 R20,10x20,,6424,8,Anti Roll Bar;Front Air Suspension;Gas Damper,Anti Roll Bar;Gas Damper;Rear Air Suspension,Disc - Ventilated,Disc - Ventilated,91.00,16,624 @ 4100 RPM,344 @ 6250 RPM,328.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1764mm x 1943mm x 4822mm,205 mm,2915 mm,2336 kg,11.30 m,1634 mm,1628 mm,-,Jeep,Grand Cherokee,SRT 8 (4X4),WK MY14,36,"100,000",6,"12,000",,
2005,2005 Nissan Navara ST-R (4X4) D22,"330,085km",Dealer: Used,"$8,990",Manual,"Ute Tray, 4 Doors, 5 Seats",Four Wheel Drive,"4 cyl, 3 L",Diesel,9.60 L / 100 km,White / Grey,1BWP837,14 Jun 2023,JN1CNUD22A0046673,2631,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Perth Cars and Commercials,"707 Albany Highway, East Victoria Park, WA",5,4,265/70 R16,7.0Jx16,265/70 R16,7.0Jx16,,2953,4,Anti Roll Bar;Coil Spring;Double Wishbone;Hydraulic Shock Absorbe,Hydraulic Shock Absorber;Leaf Spring;Live Axle,Disc - Ventilated,Drum,75.00,16,314 @ 2000 RPM,110 @ 3400 RPM,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1700mm x 1825mm x 5080mm,215 mm,2950 mm,1895 kg,12.00 m,1505 mm,1525 mm,-,Nissan,Navara,ST-R (4X4),D22,36,"100,000",6,"10,000",,
2015,2015 Toyota Landcruiser Prado GXL (4X4) KDJ150R MY14,"181,852km",Dealer: Used,"$42,990",Sequential Auto,"SUV, 4 Doors, 7 Seats",Four Wheel Drive,"4 cyl, 3 L",Diesel,8.50 L / 100 km,White / -,PH27813,-,JTEBH3FJ30K172624,969,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Motoroo,"1787 Albany Highway, Kenwick, WA",7,4,265/65 R17,7.5x17,265/65 R17,7.5x17,,2982,4,Anti Roll Bar;Coil Spring;Double Wishbone;Gas Damper,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System,Disc - Ventilated,Disc - Ventilated,150.00,16,410 @ 1600 RPM,127 @ 3400 RPM,225.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1890mm x 1885mm x 4930mm,220 mm,2790 mm,2330 kg,11.60 m,1585 mm,1585 mm,-,Toyota,Landcruiser Prado,GXL (4X4),KDJ150R MY14,36,"100,000",6,"10,000",,
2017,2017 Mazda 3 SP25 BN MY17,"70,685km",Dealer: Used,"$25,999",Automatic,"Hatch, 5 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 2.5 L",Unleaded Petrol,6.10 L / 100 km,White / Black,UNREG,30 Sep 2023,JM0BN543810142246,A31640,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,easyauto123 (Edgewater),"2 Joondalup Drive, Edgewater, WA",5,5,215/45 R18,7x18,215/45 R18,7x18,,2488,4,Anti Roll Bar;Coil Spring;Gas Damper;MacPherson Strut,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System,Disc - Ventilated,Disc,51.00,16,250 @ 3250 RPM,138 @ 5700 RPM,143.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1455mm x 1795mm x 4460mm,155 mm,2700 mm,1339 kg,10.60 m,1560 mm,1555 mm,-,Mazda,3,SP25,BN MY17,36,"999,000",12,"10,000",,
2018,2018 Toyota Hilux SR (4X4) GUN126R MY17,"103,231km",Dealer: Used,"$42,990",Automatic,"Ute Tray, 4 Doors, 5 Seats",4x4,"4 cyl, 2.8 L",Diesel,8.50 L / 100 km,White / Black Fabric,1HAX389,26 Aug 2023,MR0KA3CDX01220666,304323,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",5,4,265/65 R17,7.5x17,265/65 R17,7.5x17,,2753,4,Anti Roll Bar;Coil Spring;Double Wishbone;Hydraulic Double Acting,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,80.00,16,450 @ 1600 RPM,130 @ 3400 RPM,223.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1815mm x 1855mm x 5330mm,279 mm,3085 mm,1955 kg,11.80 m,1550 mm,1535 mm,-,Toyota,Hilux,SR (4X4),GUN126R MY17,36,"100,000",6,"10,000",,
2020,2020 Ford Ranger XL 2.2 HI-Rider (4X2) PX Mkiii MY20.25,"51,773km",Dealer: Used,"$36,750",Automatic,"Ute Tray, 4 Doors, 4 Seats",Rear Wheel Drive,"4 cyl, 2.2 L",Diesel,7.80 L / 100 km,White / Black,1HBS029,31 Jul 2023,MNAUM1F80LW083391,7198,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Webb Auto Sales,"76 Division Street, Welshpool, WA",4,4,215/70 R16,6.5x16,215/70 R16,6.5x16,,2198,4,Coil Spring;Double Wishbone;Hydraulic Double Acting Shock Absorbe,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,80.00,16,385 @ 1600 RPM,118 @ 3200 RPM,203.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1804mm x 1850mm x 5110mm,232 mm,3220 mm,1783 kg,12.70 m,1530 mm,1560 mm,-,Ford,Ranger,XL 2.2 HI-Rider (4X2),PX Mkiii MY20.25,60,"999,000",12,"15,000",,
2015,2015 Jeep Cherokee Trailhawk (4X4) KL MY15,"106,532km",Dealer: Used,"$22,988",Automatic,"SUV, 4 Doors, 5 Seats",4x4,"6 cyl, 3.2 L",Unleaded Petrol,10.00 L / 100 km,Red / -,1HDP416,-,1C4PJMFS4FW643985,12001,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Regent,"4 Hocking Road, KINGSLEY, WA",5,4,245/65 R17,7.5x17,245/65 R17,7.5x17,,3239,6,Anti Roll Bar;Coil Spring;Gas Damper;Lower Control Arm;MacPherson,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System;Trailing A,Disc - Ventilated,Disc,60.00,24,316 @ 4400 RPM,200 @ 6000 RPM,232.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1686mm x 1904mm x 4626mm,221 mm,2700 mm,1936 kg,11.90 m,1604 mm,1606 mm,-,Jeep,Cherokee,Trailhawk (4X4),KL MY15,36,"100,000",6,"12,000",,
2012,2012 Ford Ranger XL 2.2 HI-Rider (4X2) PX,"172,612km",Dealer: Used,"$18,990",Manual,"Ute Tray, 4 Doors, 5 Seats",Rear Wheel Drive,"4 cyl, 2.2 L",Diesel,7.60 L / 100 km,White / -,1HTK139,19 Aug 2023,MNAUMFF80CW142214,562,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",5,4,215/70 R16,6.5x16,215/70 R16,6.5x16,,2198,4,Coil Spring;Double Wishbone;Hydraulic Double Acting Shock Absorbe,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,80.00,16,375 @ 1500 RPM,110 @ 3700 RPM,203.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1815mm x 1850mm x 5359mm,232 mm,3220 mm,1929 kg,12.70 m,1560 mm,1560 mm,-,Ford,Ranger,XL 2.2 HI-Rider (4X2),PX,36,"100,000",12,"15,000",,
2019,2019 Volkswagen Golf 110 TSI Highline AU MY19,"73,785km",Dealer: Used,"$27,490",Auto Direct Shift,"WAGON, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 1.4 L",Premium Unleaded Petrol,5.60 L / 100 km,White / -,1GWE941,-,WVWZZZAUZKP589214,11927,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Regent,"4 Hocking Road, KINGSLEY, WA",5,4,225/45 R17,7Jx17,225/45 R17,7Jx17,,1395,4,Anti Roll Bar;Independent;MacPherson Strut,Anti Roll Bar;Independent;Multi-Link System,Disc - Ventilated,Disc - Ventilated,50.00,16,250 @ 1500 RPM,110 @ 5000 RPM,131.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1461mm x 1799mm x 4567mm,140 mm,2635 mm,1324 kg,10.90 m,1514 mm,1543 mm,-,Volkswagen,Golf,110 TSI Highline,AU MY19,60,"999,000",12,"15,000",,
2012,2012 Mazda BT-50 GT (4X4),"273,152km",Dealer: Used,"$15,999",Automatic,"Ute Tray, 4 Doors, 5 Seats",4x4,"5 cyl, 3.2 L",Diesel,9.20 L / 100 km,Grey / -,1DUP251,01 Aug 2023,MM0UP0YF100103484,00006580,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,4,265/65 R17,8x17,265/65 R17,8x17,,3196,5,Anti Roll Bar;Coil Spring;Double Wishbone;Gas Damper,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,80.00,20,470 @ 1750 RPM,147 @ 3000 RPM,246.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1821mm x 1850mm x 5365mm,237 mm,3220 mm,2095 kg,0.00 m,1560 mm,1560 mm,-,Mazda,BT-50,GT (4X4),,36,"100,000",12,"10,000",,
